Souches	Temps (h)	DO600nm	b-Gcl	a-Glc	Uracil	Formate	Succinate	Ethanol	Pyruvate	Acetate	Isoleucine	Valine	Leucine	Alanine	Phenylalanine	Tyrosine
gppARelA AI	0.16	0.544	110.76885605372	182.015107636897	-0.00372158116836601	0.0646469407842159	0.00250967496494535	0.199413974540538	0.00388504001887966	0.241870158272983	0.00475673433879156	0.00288268627224961	0.00125449057893349	0.00488479329968449	-0.00860431227068909	-0.0134186343446101
gppARelA AI	1	1.06	108.474156088261	177.204028418636	-0.00313264908660171	0.0699441070722253	0.000410888259499813	0.192972253601981	-0.000294533383129577	0.474974584398444	0.00422749358469666	0.00298227556024249	0.00411991134808551	0.00251158838744305	0.0030249395820592	-0.0102549844821343
gppARelA AI	2	2.24	107.02776073907	174.240411620384	0.00845029843233184	0.105137014470252	0.00921562239494243	0.25480569044467	0.0113168692277195	0.301469835100678	0.00207920248692181	0.000253714850438213	0.00100687617984926	0.00525902425640513	-0.00830887043204557	-0.00755530003933933
gppARelA AI	3.25	5	104.400057426513	170.360600202665	0.0174387562348075	0.474932329716571	0.045009480155043	0.484058868154027	0.0162154036672447	0.506635784934556	-0.00428387496540959	0.0197411621880527	-0.00395219464798189	0.0198172369070492	0.00702097520740613	0.00448867779233019
gppARelA IP	4	10	95.2573604585291	156.937500863345	0.0216242082604485	0.32845229779319	0.0315375198790722	0.430282257761443	0.041336581325646	0.312551961952168	0.00202498921754305	0.025167584804602	0.00222594091453791	0.0473901851388246	0.00873498864459597	0.00703583411922407
gppARelA IP	5	10.8	93.459176582466	151.625079975889	0.0336122792415615	0.631669489764596	0.083541616512514	0.493949133867773	0.490534814658564	2.85201187598342	0.0171272851826674	0.237320432453022	0.020529576011841	0.433808612344126	0.0652216378984515	0.0359563720316253
gppARelA IP	6	14.4	83.6361745727584	137.229192983367	0.0166820688814532	0.537603455739492	0.101001112778983	0.548042459633036	0.213451846901408	9.267094366856	0.0268890158374822	0.251305419335667	0.0302703965031	0.671666348314612	0.061705255512912	0.0084480480335886
gppARelA IP	7	18.4	77.3618854452648	126.998128329357	0.0500580776769299	0.91107929962106	0.169836902716199	0.798345789061729	0.0429906307615263	6.47767108044413	0.0103918257211227	0.112891320740115	0.0201270349770666	0.125104983454616	0.0861509351764376	0.0248680775695823
gppARelA IP	8	22.8	67.0619163343663	109.979233084914	0.0695329132879473	1.42042601755907	0.258676863717157	1.21655406177723	0.0828775095452289	1.74174216957163	0.0204901634161841	0.200177944491543	0.0376423577349729	0.221491626662345	0.121176939744417	0.0563702030313369
gppARelA IP	9	33.2	46.9228005285847	76.4445099926529	0.0976028045451201	2.05068937482045	0.312323431539576	1.6351488878198	0.126948573577752	2.63924499327513	0.0305275263052437	0.269268111626665	0.0522463477718322	0.27336854402188	0.154673840656985	0.061844928149951
gppARelA IP	10	59	1.71333308129108	3.16821184545501	0.137309217364783	1.99309398866331	0.113719551694473	1.53545622689643	0.10061577893344	2.59660337664504	0.0412808432443072	0.258712432110176	0.0605510009383938	0.244958674375853	0.162516159920015	0.0477140663425451
