Condition	mu	qGlucose	qAcetate	qDHIV	qDHMP	qPropionate	Propionyl-CoA
WT	0,65	8	2,94	0,05	0,01	0,03	1,238570413
pflA	0,634970764	8,150743484	2,921229366	0,046087793	0,006639988	0,026577868	1,287004616
pflB	0,676177279	8,029182912	2,587786643	0,052706311	0,007711642	0,028970702	1,114822416
tdcE	0,636578681	7,535953563	2,952893491	0,045765397	0,006614599	0,028311885	1,359228037
poxB	0,573143126	7,736611671	3,60475101	0,04366519	0,007179201	0,027338684	1,159790132
ygFG	0,582921136	8,883580951	4,081905732	0,037929067	0,006854628	0,023013361	1,307594266
ygFH	0,590574732	7,560099437	3,822167588	0,043688539	0,006818005	0,0272415	1,337955193
PoxBPflB	0,629385132	7,41498827	3,31135148	0,04634216	0,008604274	0,025957137	1,103018229
