Souches	Temps (h)	DO600nm	b-Gcl	a-Glc	Uracil	Formate	Succinate	Ethanol	Pyruvate	Acetate	Isoleucine	Valine	Leucine	Alanine	Phenylalanine	Tyrosine
WT IP	3,5	8,74	87,07607361	144,7684117	0,013227133	0,379601471	0,037283497	0,343115637	0,115033178	0,975266979	0,005588564	0,105066374	0,009161917	0,075196228	0,030932874	0,046330064
WT IP	4,5	11,5	84,04589112	139,2935825	0,03686118	0,742193201	0,127347623	0,340209263	4,983035381	2,029494585	0,054159453	0,314972298	0,048587698	1,002649052	0,075736985	0,066043975
WT IP	5,5	10,7	84,74500161	140,6532339	0,037817848	0,911749466	0,070911728	0,334915986	8,707301451	8,265913784	0,041243409	0,754757294	0,038432813	1,086575353	0,097047885	0,092018038
WT IP	6,5	10,1	81,85831329	137,4673015	0,020644646	1,013714739	0,050228969	0,294212223	4,061374149	14,87112576	0,031415858	0,826746193	0,038360634	1,134726919	0,099532999	0,090487772
WT IP	7,5	11,4	78,30151941	131,1085565	0,027716696	0,97807436	0,148077166	0,258024171	12,98880336	9,484388823	0,074798939	0,647068167	0,063562221	5,422749713	0,088931537	0,123632154
WT IP	8,5	15,2	72,49796026	121,1337315	0,031800254	1,117869291	0,139204268	0,662897385	0,071717733	4,997496694	0,043953411	0,364573369	0,053854397	0,160263954	0,067672311	0,070002422
WT IP	9,5	18,2	69,04648182	116,1368738	0,057301712	1,778411897	0,271372908	1,221851679	0,094234206	2,329696758	0,037945633	0,268022223	0,054411668	0,253534916	0,097191586	0,095653691
WT IP	10	28	59,88685966	101,2234405	0,075464144	2,626532164	0,429794628	1,802408616	0,145649581	3,792905176	0,037433858	0,511945093	0,066183382	0,577777818	0,127507467	0,103872411
WT IP	11,5	48,2	4,97130256	9,348339195	0,204593276	1,802968744	0,261344758	0,839491631	0,134453845	1,292285978	0,238200446	3,033088222	0,294533461	0,229757323	0,350327409	0,193618156
WT NI	0,16	0,75	105,5326524	173,9180535	0,005415737	0,096882112	-0,004670958	0,082012752	-0,009758569	0,349261407	-0,003688407	0,000889318	-0,00084814	-0,006254395	-0,000437012	-0,009912506
WT NI	1	1,5	106,3102466	175,7820074	0,006608347	0,085212238	0,007814462	0,105285101	0,009415764	0,909333064	-0,001100028	0,003274583	0,000672085	0,005627395	0,00429738	-0,006911631
WT NI	2	3,26	101,6180835	167,4193652	0,0123198	0,211472506	0,019928294	0,219115999	0,007129932	1,008367095	0,001846913	0,011545759	-0,000746539	0,007594864	0,007814794	-0,005358403
WT NI	3	4,43	96,93613052	159,4277316	0,026890427	0,430272756	0,099898149	0,454422008	0,037628784	0,37918869	-0,001489989	0,045656196	0,001793348	0,034267883	0,018852883	0,008676167
WT NI	4	10	85,85048203	141,1353019	0,044552858	0,844979987	0,171694294	0,732481945	0,062680926	0,836723813	-0,004835269	0,074876088	0,000900484	0,062361815	0,00825974	0,005476156
WT NI	5	29,4	61,89694298	103,2191368	0,061234405	1,677034788	0,484844763	1,596863978	0,101781717	1,611575888	-0,00065329	0,274892266	0,010600092	0,180534067	0,025799792	0,010398832
WT NI	6	59,2	28,60125668	53,0060341	0,282072677	4,219208971	0,054539878	1,908287758	0,703337353	0,26343014	0,04009283	0,727592657	0,066417591	0,425237285	0,23098598	0,039506279
WT NI	7	74,7	0,947855947	1,584382357	0,110888842	1,000662527	0,774778882	0,346884808	0,071159693	1,254181618	0,042408188	0,213308328	0,046810559	0,088383162	0,206103965	0,033227082
WT NI	8	82	1,258734269	1,819789648	0,175204662	0,605738632	0,090534184	0,144161611	0,044202263	0,239923893	0,083522265	0,238862475	0,080407722	0,055882802	0,231918684	0,05637384
