Time;-1,083333333;0;0,166666667;0,333333333;0,5;0,666666667;0,833333333;1;1,166666667;1,333333333;1,5;1,666666667;1,766666667;2,266666667;2,833333333;3,833333333
Valine;0,434650628;0;0,711161915;0,605062011;0,329726729;0,473017464;1,230520667;2,464656057;3,156744725;3,795027115;4,144886253;4,425361236;4,580621406;4,878343322;5,032587985;5,178899364
Alanine;0,275081259;0;0,478726387;0,631742322;0,660443785;0,837008968;1,326603114;1,857538836;2,206644404;2,903894762;3,39023425;3,818587214;4,102838195;4,635562194;4,991981993;5,113152812
Leucine;0,000227841;0;0,153361934;0,524133082;0,677262498;0,930325564;0,971806818;1,287076602;1,879271684;2,61558173;3,030499802;3,37748504;3,67633348;4,045029077;4,134619368;3,368280277
Lysine;-0,286372992;0;0,082520559;0,490815298;0,68059889;0,915655457;1,118792307;1,163280048;1,339565281;1,779789724;2,045052952;2,319162455;2,497467485;2,982372502;3,296621959;2,420625015
Isoleucine;0,263388711;0;0,202071913;0,551677471;0,662039712;0,811162451;0,616737649;0,098825202;0,450274469;1,080226107;1,560349331;1,943343187;2,133157096;2,787220567;3,045240025;2,716167124
Phenylalanine;0,365785746;0;0,683614307;0,891437071;1,130052113;1,457128906;1,367514613;0,993392976;1,021495841;1,183279875;1,121339819;1,193495688;1,209481876;1,896756121;2,183588991;3,195542493
Glycine;0,75344015;0;0,805483078;1,586646475;1,839360964;1,780078429;1,653938715;0,274036733;0,504507686;1,303432664;1,145943098;1,375361561;1,257144543;1,480849662;1,475799697;1,507278202
Threonine;0,18720077;0;-0,043045982;0,286712997;0,398930415;0,446810327;0,480094599;0,655822983;0,697689107;1,122727931;1,214581979;1,35327;1,385197517;1,371287168;1,27497046;1,434292349
Tyrosine;0,590893666;0;0,853951472;0,739915369;0,985235858;1,228941409;1,105112071;0,610865407;0,570525119;0,893956444;1,012612646;1,286214002;1,277240453;1,572966858;1,424404975;0,755082072
Histidine;0,147061111;0;0,156851855;2,411386394;3,186197285;3,54445781;3,188811065;0,642728419;0,299291784;1,68701114;0,514716673;1,99208507;1,067042639;2,337903197;1,39046938;0,598365026
Serine;0,960692759;0;0,300317352;1,89872459;2,42892697;2,578965416;2,466595234;-0,419792413;-0,756178255;1,031554935;-0,274440438;1,090631908;0,182070342;1,035399212;0,300756053;0,283460595
Tryptophane;0,363844142;0;0,537836431;0,750416108;0,929188947;1,013939716;0,53219746;-0,246380412;-0,357639495;0,002250916;0,058378134;0,312824367;0,23930572;0,684621699;0,814772367;0,523089443
Proline;0,239866249;0;0,504023017;0,491493858;0,596927083;0,640034272;0,474150517;-0,126918594;-0,244900014;0,08020761;0,041982911;0,460554922;0,242344871;0,79305172;0,990073614;0,805185907
Glutamine;0,343504678;0;0,405097665;0,348450265;0,31229852;0,348324533;0,381695198;0,19612755;-0,104244929;0,430716638;0,285210858;0,485453907;0,536737559;0,373063867;0,088525222;-0,228506356
Glutamate;-0,329683665;0;-0,056911596;-0,105129865;-0,702976799;-0,346696572;-0,61004699;-0,921803997;-0,75356171;-0,64565434;-0,772537485;-0,702529157;-0,720066401;-0,38704383;0,287182939;0,946331589
Arginine;-2,97500211;0;-0,928237205;0,614732063;0,65467068;1,019532307;0,555424646;-0,37208965;-0,684830568;-1,454211734;-2,033850029;-1,780072638;-1,683974319;-1,737137053;-1,860390095;-1,916724746
Aspartate;0,815804158;0;-0,182965169;0,225395481;0,385185631;0,425622051;0,337494054;-0,270873558;-0,684968198;-0,314997625;-0,624713289;-0,424450007;-0,652120816;-0,656661868;-1,268610892;-1,764954573
Methionine;-0,325222586;0;0,351966442;0,098503301;0,122337987;0,044670449;-0,523953463;-0,933761077;-1,159853768;-1,859829502;-1,614524183;-1,941259984;-1,884076758;-1,723210303;-1,164828559;-1,428724042
ppGpp;1,79085116;1;1,139672347;1,178119737;1,353024875;1,543396696;2,010747395;2,403152622;2,187114592;2,405319534;2,195875976;1,88524308;2,05803675;2,314537129;2,048069252;2,203741192
